,model,dag_id,idiomatic_airflow_score,idiomatic_airflow_reasoning,no_hallucination_score,no_hallucination_reasoning,instruction_adherence_score,instruction_adherence_reasoning,overall_score
0,Ground Truth (HuggingFace),0,1,"The code uses the SnowparkOperator from airflow.providers.snowflake.operators.snowpark, which is the idiomatic and native Airflow operator for Snowpark operations. It does not wrap Snowflake logic in a PythonOperator with hooks, but instead uses the purpose-built operator designed for Snowpark Python operations.",0,The code includes test harness boilerplate at the end: 'from tests_common.test_utils.system_tests import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing modules that should not be present in production-ready code.,1,The code fully adheres to the instruction. It creates a data pipeline that loads 12 product records into a Snowflake table (setup_data task) and validates the data load by verifying the row count matches the expected count of 12 (check_num_rows task). Both required steps are implemented correctly with proper task dependencies.,0.6666666666666666
1,Ground Truth (HuggingFace),2,1,"The code uses native Airflow constructs appropriately. It uses the EmptyOperator from the standard providers package, implements a custom timetable class (AfterWorkdayTimetable) as the schedule parameter, and uses the DAG context manager. This is the idiomatic way to implement custom scheduling in Airflow 3.0.0, where timetables are passed directly to the schedule parameter rather than wrapping logic in PythonOperators.",0,"The code imports 'AfterWorkdayTimetable' from 'airflow.example_dags.plugins.workday', which is an internal example/testing path. This is not a standard production-ready import from official Airflow providers or core libraries. In a production environment, this custom timetable class should either be defined in the DAG file itself or imported from a proper custom plugins directory, not from 'airflow.example_dags.plugins'.",1,"The code fully adheres to the instruction. It constructs an Airflow DAG that showcases a custom timetable scheduling mechanism using the AfterWorkdayTimetable class, builds a simple workflow with an EmptyOperator, and demonstrates scheduling flexibility by triggering after standard work hours. All requested elements are present: custom timetable implementation, simple workflow, and illustration of scheduling flexibility.",0.6666666666666666
2,Ground Truth (HuggingFace),3,1,"The code uses native Airflow operators specifically designed for Campaign Manager tasks. It imports and uses GoogleCampaignManagerBatchInsertConversionsOperator, GoogleCampaignManagerBatchUpdateConversionsOperator, GoogleCampaignManagerInsertReportOperator, GoogleCampaignManagerRunReportOperator, GoogleCampaignManagerDownloadReportOperator, GoogleCampaignManagerDeleteReportOperator, and GoogleCampaignManagerReportSensor from airflow.providers.google.marketing_platform. These are the idiomatic, provider-specific operators rather than wrapping logic in PythonOperator with hooks.",0,"The code imports from 'system.google' module with 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID', which appears to be an internal testing module. The code also includes extensive test harness boilerplate with comments like 'This system test relies on a service account...' and 'before running this system test locally', indicating this is test infrastructure code rather than production-ready code. The presence of system test patterns and internal test utilities constitutes hallucination/leakage.",1,"The code fulfills the user instruction requirements: (1) It retrieves Campaign Manager metrics through the report definition with dimensions and metricNames, (2) It generates a standard performance report across campaigns using the STANDARD report type with campaign dimensions, (3) It demonstrates batch conversion tracking capabilities through GoogleCampaignManagerBatchInsertConversionsOperator and GoogleCampaignManagerBatchUpdateConversionsOperator, and (4) It shows interaction with Campaign Manager's reporting APIs (insert, run, download, delete report operators) and conversion APIs (batch insert/update conversion operators). The REPORT structure and CONVERSION structure are properly defined according to the Campaign Manager API specifications.",0.6666666666666666
3,Ground Truth (HuggingFace),4,1,"The code uses the specific GCSToPrestoOperator from airflow.providers.presto.transfers.gcs_to_presto, which is the idiomatic Airflow approach for transferring data from GCS to Presto. It does not wrap logic in a PythonOperator with hooks, but instead uses the native operator designed for this exact task.",0,The code includes test harness boilerplate at the end: 'from tests.system.utils import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing utilities that should not be present in production-ready DAG code. This is a clear example of test infrastructure leaking into the generated code.,1,"The code fulfills the user instruction to create a data migration workflow that transfers structured CSV data from cloud object storage (GCS) to a columnar analytics database (Presto). The GCSToPrestoOperator supports efficient, automated data loading from cloud storage to a queryable data platform as requested. The task is properly configured with source bucket, source object, and destination table parameters.",0.6666666666666666
4,Ground Truth (HuggingFace),7,1,"The DAG correctly uses SQLExecuteQueryOperator from airflow.providers.common.sql.operators.sql, which is the idiomatic and recommended approach for executing SQL queries in Airflow 3.0.0. It does not wrap database operations in PythonOperator with hooks, but instead uses the native SQL operator designed for this purpose. The conn_id is properly passed via default_args, making it available to all SQL operators.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports 'from tests_common.test_utils.watcher import watcher' and 'from tests_common.test_utils.system_tests import get_test_run', then uses these with 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. These are internal testing modules that indicate this is test/example code rather than clean, production-ready code.",1,"The DAG fully satisfies the user instruction to create a data management workflow for tracking employee information in Vertica. It demonstrates all four required operations: (1) creating an employee records table with appropriate schema, (2) populating it with sample employee data, (3) querying the data, and (4) cleaning up by dropping the table. The workflow follows a logical sequence with proper task dependencies.",0.6666666666666666
5,Ground Truth (HuggingFace),8,1,"The code correctly uses the ADLSListOperator from airflow.providers.microsoft.azure.operators.adls, which is the idiomatic Airflow approach for listing files in Azure Data Lake Storage. It does not wrap functionality in a PythonOperator with hooks, but instead uses the native operator designed for this task.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports 'from tests_common.test_utils.watcher import watcher' and 'from tests_common.test_utils.system_tests import get_test_run', and includes test-related code like 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. These are internal testing modules that indicate this is example/test code rather than production-ready code.",1,"The code fulfills the user instruction to develop a data exploration DAG that lists Parquet files from Azure Data Lake Storage. It uses ADLSListOperator to perform a remote file inventory with the path pattern 'folder/output/*.parquet', which targets Parquet-formatted files in a specific directory. The operator retrieves file metadata that can support data validation and tracking processes as requested.",0.6666666666666666
6,Ground Truth (HuggingFace),9,1,"The code uses native Airflow operators designed for the specific tasks: GCSToSFTPOperator for transferring files from GCS to SFTP, GCSCreateBucketOperator for bucket management, LocalFilesystemToGCSOperator for uploading files, and SFTPSensor for validation. It does not wrap functionality in PythonOperator with hooks, which would be non-idiomatic. The code properly leverages the airflow.providers.google.cloud.transfers.gcs_to_sftp module and other provider-specific operators.",0,"The code imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID' which appears to be an internal testing module. This is a clear hallucination/leakage of test infrastructure code. Additionally, the code references 'SYSTEM_TESTS_ENV_ID' and 'SYSTEM_TESTS_GCP_PROJECT' environment variables, and uses Path(__file__).parent / 'resources' pattern typical of test harnesses. The code also includes START/END comment markers like '[START howto_operator_gcs_to_sftp_copy_single_file]' which are documentation/example boilerplate rather than production code.",1,"The DAG fulfills the user instruction to create a data migration workflow that transfers files from cloud storage (GCS) to SFTP with multiple transfer strategies. It implements: (1) copying individual files (copy_file_from_gcs_to_sftp), (2) moving files (move_file_from_gcs_to_sftp with move_object=True), and (3) transferring directory contents (copy_dir_from_gcs_to_sftp and move_dir_from_gcs_to_sftp). The code demonstrates all three requested transfer modes with appropriate validation using SFTPSensor.",0.6666666666666666
7,Ground Truth (HuggingFace),11,1,"The code uses appropriate Airflow providers and operators for AWS services. It leverages EksCreateClusterOperator, EksDeleteClusterOperator, EmrContainerOperator, EmrEksCreateClusterOperator, S3CreateBucketOperator, EksClusterStateSensor, and EmrContainerSensor from the official airflow.providers.amazon.aws package. While there are some @task decorated functions for auxiliary operations (like creating launch templates and enabling EMR access), these are appropriate uses of TaskFlow API for operations that don't have dedicated operators. The core EMR on EKS and cluster management operations use the proper native operators rather than wrapping hooks in PythonOperators.",0,"The code contains clear evidence of test harness boilerplate and internal testing modules. Specifically, it imports 'from tests.system.providers.amazon.aws.utils import ENV_ID_KEY, SystemTestContextBuilder' and uses 'sys_test_context_task = SystemTestContextBuilder()...' which are internal testing utilities not meant for production code. This is a system test example that has been presented as production code, which constitutes hallucination/leakage of test infrastructure.",1,"The code fulfills the user instruction comprehensively. It demonstrates: (1) launching a Kubernetes cluster using EksCreateClusterOperator, (2) configuring IAM roles through multiple tasks (create_iam_oidc_identity_provider, update_trust_policy_execution_role, enable_access_emr_on_eks), (3) running a sample Python computation job (the pi.py calculation script stored in S3 and executed via EmrContainerOperator), and (4) managing the full lifecycle including cleanup operations. The workflow creates an automated pipeline for deploying and managing EMR jobs on EKS as requested, even though the code is truncated.",0.6666666666666666
8,Ground Truth (HuggingFace),12,1,"The code uses native BashOperator from airflow.operators.bash, which is the appropriate and idiomatic operator for executing bash commands. It also leverages Airflow 2.7+ specific features like .as_setup() and .as_teardown() methods, which are the proper way to designate setup and teardown tasks. The code does not wrap bash commands in PythonOperator or use hooks unnecessarily. TaskGroup is also used idiomatically for logical grouping.",1,"The code imports only standard Airflow libraries (airflow.models.dag, airflow.operators.bash, airflow.utils.task_group) and the pendulum library for datetime handling, which is a standard dependency in Airflow. There are no imports from internal testing modules, no test harness boilerplate like get_test_run(), and no non-existent or hallucinated modules. The code is clean and production-ready.",1,"The DAG fully satisfies the user instruction. It creates a pipeline that simulates a data processing workflow with: (1) explicit initialization stages using .as_setup() for both root-level and taskgroup-level setup tasks, (2) main processing logic represented by normal bash tasks, (3) cleanup stages using .as_teardown() for finalization operations, and (4) proper task dependencies showing how setup tasks prepare the environment and teardown tasks perform cleanup around the main processing logic. The DAG also demonstrates this pattern at multiple levels (root and within a TaskGroup), illustrating the concept comprehensively.",1.0
9,Ground Truth (HuggingFace),16,1,The code uses native Airflow Kafka providers with specific operators designed for the task: ProduceToTopicOperator for producing messages to Kafka and AwaitMessageTriggerFunctionSensor for consuming and processing messages. These are idiomatic Airflow patterns for Kafka integration rather than wrapping Kafka logic in generic PythonOperators with hooks.,0,"The code explicitly imports testing modules and includes test harness boilerplate at the end: 'from tests_common.test_utils.system_tests import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing utilities that should not appear in production code. Additionally, there are missing imports at the top (Connection, json, datetime, DAG, ProduceToTopicOperator, AwaitMessageTriggerFunctionSensor) which suggests this is incomplete example/test code rather than production-ready code.",1,"The code fulfills the instruction to create a Kafka-based FizzBuzz game demonstrating message streaming and event processing. It generates numbers (1-50 via producer_function), checks for divisibility by 3 and 5 (in await_function and wait_for_event), and triggers specific actions based on number characteristics (printing 'FIZZ' for mod 3, 'BUZZ' for mod 5, and returning special message for mod 15). The system has both producer and consumer components as requested.",0.6666666666666666
